agent_type,noise,pB_scale,pB_lr,coop_bias,gamma,alpha,policy_len,update_interval,preferences,noisy_A,mean_score,mean_cooperation_rate,mean_rank
Factorized,0.4,1.0,1.0,0.75,0.6,1.0,10,10,standard,True,2166.5875,0.46652777777777776,10.75
Factorized,0.4,10.0,1.0,0.5,1.0,1.0,1,50,nash,True,2147.8,0.4923888888888889,13.0
Factorized,0.45,1.0,0.5,0.5,0.3,1.0,5,10,standard,False,2194.8875,0.49380555555555555,13.5
Factorized,0.45,1.0,1.0,0.75,0.6,1.0,10,10,standard,True,2209.0,0.4839583333333333,10.25
Factorized,0.45,10.0,1.0,0.5,1.0,1.0,1,50,nash,True,2224.5,0.49772222222222223,8.0
Factorized,0.5,1.0,0.5,0.5,0.3,1.0,5,10,standard,False,2252.125,0.4985138888888889,8.5
Factorized,0.5,1.0,1.0,0.75,0.6,1.0,10,10,standard,True,2252.0874999999996,0.5006666666666666,8.5
Factorized,0.5,10.0,1.0,0.5,1.0,1.0,1,50,nash,True,2275.45,0.499,1.0
Joint,0.0,1.0,0.5,0.5,0.6,0.3,1,10,nash,True,1747.575,0.5213749999999999,15.0
Joint,0.0,1.0,0.5,0.5,0.6,0.6,5,100,standard,True,1830.3500000000001,0.503375,14.25
Joint,0.0,1.0,0.5,0.75,0.3,0.6,10,10,nash,False,1748.5375,0.5529722222222222,15.0
Joint,0.0,1.0,0.5,0.75,0.3,1.0,10,50,nash,True,1892.2375000000002,0.5965555555555555,14.25
Joint,0.0,1.0,1.0,0.25,0.6,0.6,5,100,nash,False,1953.7624999999998,0.6213055555555556,13.25
Joint,0.0,1.0,1.0,0.25,1.0,1.0,10,50,nash,False,2046.2875,0.6976249999999999,12.5
Joint,0.0,1.0,1.0,0.5,0.3,0.3,1,100,nash,False,1763.4125,0.5124583333333333,14.75
Joint,0.0,1.0,1.0,0.5,1.0,0.3,1,50,nash,False,1681.4625,0.5287361111111111,15.75
Joint,0.0,1.0,1.0,0.5,1.0,0.3,5,100,nash,False,1873.9375,0.6117083333333333,14.25
Joint,0.0,1.0,1.0,0.5,1.0,1.0,1,10,standard,True,1572.65,0.27522222222222226,16.75
Joint,0.0,1.0,1.0,0.75,0.3,0.3,10,100,nash,True,1752.925,0.5211250000000001,15.0
Joint,0.0,1.0,1.5,0.25,0.3,1.0,10,50,standard,False,1880.675,0.5064861111111112,13.5
Joint,0.0,1.0,1.5,0.75,0.3,1.0,1,10,standard,True,1661.925,0.43468055555555557,15.75
Joint,0.0,10.0,0.5,0.25,1.0,0.3,5,50,nash,True,1824.1625,0.5706944444444444,14.25
Joint,0.0,10.0,0.5,0.5,0.3,0.3,5,50,standard,False,1812.55,0.5000555555555556,14.0
Joint,0.0,10.0,0.5,0.5,0.6,1.0,5,10,standard,True,1793.9125000000001,0.49036111111111114,15.0
Joint,0.0,10.0,0.5,0.75,0.3,0.3,5,50,nash,True,1731.9375,0.5223472222222222,15.0
Joint,0.0,10.0,0.5,0.75,0.3,0.6,1,100,nash,False,1697.4875,0.5288472222222222,15.25
Joint,0.0,10.0,0.5,0.75,0.6,0.6,10,10,standard,False,1860.275,0.5313888888888889,14.25
Joint,0.0,10.0,0.5,0.75,1.0,0.3,10,50,nash,False,1852.85,0.6112916666666667,14.25
Joint,0.0,10.0,0.5,0.75,1.0,0.3,10,100,nash,True,1895.9,0.5940277777777778,14.0
Joint,0.0,10.0,1.0,0.5,0.6,0.3,5,10,standard,False,1884.8875,0.49995833333333334,13.25
Joint,0.0,10.0,1.0,0.5,0.6,0.6,5,50,nash,True,1939.1750000000002,0.6100833333333333,13.5
Joint,0.0,10.0,1.0,0.75,0.3,0.3,5,50,nash,True,1731.9375,0.5223472222222222,15.0
Joint,0.0,10.0,1.0,0.75,0.6,1.0,10,10,standard,False,1884.4375,0.5436944444444445,13.5
Joint,0.0,10.0,1.0,0.75,1.0,0.6,5,10,nash,False,2028.0125,0.6943055555555555,12.25
Joint,0.0,10.0,1.5,0.75,0.6,0.3,5,50,nash,False,1789.675,0.563125,15.0
Joint,0.0,10.0,1.5,0.75,1.0,1.0,10,10,standard,True,2004.7124999999999,0.5606944444444444,13.0
Joint,0.0,100.0,0.5,0.25,0.3,0.6,5,10,standard,False,1746.3625000000002,0.4261388888888889,15.0
Joint,0.0,100.0,0.5,0.25,0.3,1.0,5,100,standard,False,1667.5125,0.38231944444444443,15.75
Joint,0.0,100.0,0.5,0.25,0.6,0.6,1,10,standard,False,1581.625,0.34154166666666663,16.5
Joint,0.0,100.0,0.5,0.25,1.0,0.3,5,50,standard,False,1668.325,0.386,15.75
Joint,0.0,100.0,0.5,0.5,0.3,0.6,1,100,standard,False,1782.85,0.4585,14.75
Joint,0.0,100.0,0.5,0.5,0.3,0.6,10,100,nash,False,1779.6375,0.5441527777777777,14.5
Joint,0.0,100.0,0.5,0.5,0.3,0.6,10,100,standard,True,1662.0125,0.46808333333333335,15.75
